x,y
96.875,32.875
97.125,32.875
97.375,32.875
97.625,32.875
97.875,32.875
98.125,32.875
98.375,32.875
98.625,32.875
98.875,32.875
99.125,32.875
99.375,32.875
99.625,32.875
99.875,32.875
100.125,32.875
100.375,32.875
100.625,32.875
100.875,32.875
101.125,32.875
90.125,32.625
90.375,32.625
90.625,32.625
90.875,32.625
91.125,32.625
91.375,32.625
91.625,32.625
91.875,32.625
92.125,32.625
92.375,32.625
92.625,32.625
92.875,32.625
93.125,32.625
93.375,32.625
93.625,32.625
93.875,32.625
94.125,32.625
94.375,32.625
94.625,32.625
94.875,32.625
95.125,32.625
95.375,32.625
95.625,32.625
95.875,32.625
96.125,32.625
96.375,32.625
96.625,32.625
96.875,32.625
97.125,32.625
97.375,32.625
97.625,32.625
97.875,32.625
98.125,32.625
98.375,32.625
98.625,32.625
98.875,32.625
99.125,32.625
99.375,32.625
99.625,32.625
99.875,32.625
100.125,32.625
100.375,32.625
100.625,32.625
100.875,32.625
101.125,32.625
101.375,32.625
89.875,32.375
90.125,32.375
90.375,32.375
90.625,32.375
90.875,32.375
91.125,32.375
91.375,32.375
91.625,32.375
91.875,32.375
92.125,32.375
92.375,32.375
92.625,32.375
92.875,32.375
93.125,32.375
93.375,32.375
93.625,32.375
93.875,32.375
94.125,32.375
94.375,32.375
94.625,32.375
94.875,32.375
95.125,32.375
95.375,32.375
95.625,32.375
95.875,32.375
96.125,32.375
96.375,32.375
96.625,32.375
96.875,32.375
97.125,32.375
97.375,32.375
97.625,32.375
97.875,32.375
98.125,32.375
98.375,32.375
98.625,32.375
98.875,32.375
99.125,32.375
99.375,32.375
99.625,32.375
99.875,32.375
100.125,32.375
100.375,32.375
100.625,32.375
100.875,32.375
101.125,32.375
101.375,32.375
86.625,32.125
86.875,32.125
87.125,32.125
88.375,32.125
88.625,32.125
88.875,32.125
89.125,32.125
89.375,32.125
89.625,32.125
89.875,32.125
90.125,32.125
90.375,32.125
90.625,32.125
90.875,32.125
91.125,32.125
91.375,32.125
91.625,32.125
91.875,32.125
92.125,32.125
92.375,32.125
92.625,32.125
92.875,32.125
93.125,32.125
93.375,32.125
93.625,32.125
93.875,32.125
94.125,32.125
94.375,32.125
94.625,32.125
94.875,32.125
95.125,32.125
95.375,32.125
95.625,32.125
95.875,32.125
96.125,32.125
96.375,32.125
96.625,32.125
96.875,32.125
97.125,32.125
97.375,32.125
97.625,32.125
