long,lat,variable,value,level
72.375,35.625,tws245,-2.31953419198344,"(-3,-2]"
72.625,35.625,tws245,-2.14715496361732,"(-3,-2]"
72.875,35.625,tws245,-2.18235074726744,"(-3,-2]"
73.125,35.625,tws245,-2.0455773623499,"(-3,-2]"
73.375,35.625,tws245,-1.91237098017659,"(-2,-1]"
73.625,35.625,tws245,-1.33513982868332,"(-2,-1]"
74.375,35.625,tws245,-0.885772422725981,"(-1,0]"
74.625,35.625,tws245,-0.881149558325158,"(-1,0]"
74.875,35.625,tws245,-0.800515316561849,"(-1,0]"
75.125,35.625,tws245,-0.687937222984638,"(-1,0]"
75.375,35.625,tws245,-0.841247673161285,"(-1,0]"
75.625,35.625,tws245,-0.756873758599891,"(-1,0]"
75.875,35.625,tws245,-0.793469809788447,"(-1,0]"
76.125,35.625,tws245,-0.828571498652285,"(-1,0]"
76.375,35.625,tws245,-0.728426578405964,"(-1,0]"
76.625,35.625,tws245,-0.806605384435031,"(-1,0]"
76.875,35.625,tws245,-0.628769780044435,"(-1,0]"
77.125,35.625,tws245,-0.780870812601126,"(-1,0]"
77.375,35.625,tws245,-0.84849719131218,"(-1,0]"
77.625,35.625,tws245,-1.12035942512943,"(-2,-1]"
77.875,35.625,tws245,-0.849634156649057,"(-1,0]"
68.625,35.375,tws245,-5.40478435243422,"(-6,-5]"
68.875,35.375,tws245,-5.37454709741636,"(-6,-5]"
69.125,35.375,tws245,-5.39714459066813,"(-6,-5]"
71.625,35.375,tws245,-2.56023496351318,"(-3,-2]"
71.875,35.375,tws245,-2.38426593176593,"(-3,-2]"
74.875,35.375,tws245,-0.945907589033825,"(-1,0]"
75.375,35.375,tws245,-1.00259788385262,"(-2,-1]"
75.625,35.375,tws245,-0.801627716604697,"(-1,0]"
75.875,35.375,tws245,-0.698301137983752,"(-1,0]"
76.125,35.375,tws245,-0.699846750058881,"(-1,0]"
76.375,35.375,tws245,-0.922478825377183,"(-1,0]"
76.625,35.375,tws245,-0.835628880243059,"(-1,0]"
76.875,35.375,tws245,-0.867123709561573,"(-1,0]"
77.125,35.375,tws245,-0.828298188870148,"(-1,0]"
77.375,35.375,tws245,-1.15937058158673,"(-2,-1]"
77.625,35.375,tws245,-1.50281276399955,"(-2,-1]"
77.875,35.375,tws245,-1.77842595176217,"(-2,-1]"
78.125,35.375,tws245,-1.47726848914455,"(-2,-1]"
78.375,35.375,tws245,-0.594453554386465,"(-1,0]"
68.125,35.125,tws245,-6.00575782100669,"(-7,-6]"
75.625,35.125,tws245,-0.830443837041764,"(-1,0]"
75.875,35.125,tws245,-0.789526122687095,"(-1,0]"
76.125,35.125,tws245,-0.800600279680797,"(-1,0]"
76.375,35.125,tws245,-0.944367033407758,"(-1,0]"
76.625,35.125,tws245,-1.22526251625185,"(-2,-1]"
76.875,35.125,tws245,-1.36300240805296,"(-2,-1]"
77.125,35.125,tws245,-1.40716237878737,"(-2,-1]"
77.375,35.125,tws245,-1.53785605206387,"(-2,-1]"
77.625,35.125,tws245,-2.00251158716038,"(-3,-2]"
77.875,35.125,tws245,-2.37835728487895,"(-3,-2]"
78.125,35.125,tws245,-2.27344728197398,"(-3,-2]"
78.375,35.125,tws245,-1.61227000880897,"(-2,-1]"
78.625,35.125,tws245,-0.343494029692072,"(-1,0]"
75.625,34.875,tws245,-0.907819351700425,"(-1,0]"
75.875,34.875,tws245,-0.803358588414053,"(-1,0]"
76.125,34.875,tws245,-1.03831648280733,"(-2,-1]"
76.375,34.875,tws245,-1.2180859407584,"(-2,-1]"
