long,lat,mmk
-14.875,81.125,-3.98419584702054
64.375,81.125,-4.41084889638151
64.625,81.125,-4.44491889668772
64.875,81.125,-4.45458496522484
65.125,81.125,-4.45138719224923
90.125,81.125,-5.11693039540621
90.375,81.125,-5.18316395088158
90.625,81.125,-5.17568017846683
90.875,81.125,-5.13033922195708
91.125,81.125,-5.13163081602892
91.375,81.125,-5.11422878470132
94.875,81.125,-5.70640948390073
95.125,81.125,-5.609202262027
95.375,81.125,-5.60477969840524
95.625,81.125,-5.66925593449317
95.875,81.125,-5.89907756241206
96.125,81.125,-6.14014495196772
-19.875,80.875,-4.70297960514886
-19.625,80.875,-4.66427758895453
-19.375,80.875,-4.66718371677829
-19.125,80.875,-4.66740046679519
-18.875,80.875,-4.66781387110411
-18.625,80.875,-4.66504227520582
-18.375,80.875,-4.66332101934667
-18.125,80.875,-4.67434271733213
-17.875,80.875,-4.67306984531103
-17.625,80.875,-4.67194642884709
-17.375,80.875,-4.67262574262274
-17.125,80.875,-4.66949255232952
-16.875,80.875,-4.66611386698677
-16.625,80.875,-4.66161300009792
-16.375,80.875,-4.65895828828409
-16.125,80.875,-4.65176097850491
-15.875,80.875,-4.61229144475746
-15.625,80.875,-4.58498726863967
-15.375,80.875,-4.57786658439567
49.875,80.875,-3.21347229100767
50.625,80.875,-3.22672718363014
50.875,80.875,-3.20337962450137
55.125,80.875,-3.32756411631417
55.875,80.875,-3.6231869410415
56.125,80.875,-3.63326249885473
56.375,80.875,-3.64519743079222
56.625,80.875,-3.65351507143414
56.875,80.875,-3.66487836131383
57.625,80.875,-3.69544538519521
57.875,80.875,-3.70076733486599
61.625,80.875,-4.03473012516133
61.875,80.875,-4.10900944221693
62.875,80.875,-4.31249152712069
63.125,80.875,-4.3282257973042
63.375,80.875,-4.36152157423379
63.625,80.875,-4.39283375562073
63.875,80.875,-4.41853792878284
64.125,80.875,-4.48121943543498
64.375,80.875,-4.5083068526504
64.625,80.875,-4.52463453897775
64.875,80.875,-4.5528918432857
65.125,80.875,-4.57194497234471
79.125,80.875,-7.97510352632709
79.375,80.875,-7.7940910719927
79.625,80.875,-7.64590801820226
79.875,80.875,-7.43827866548491
80.125,80.875,-7.25631607088065
80.375,80.875,-7.16953431077934
92.875,80.875,-5.5440902168589
93.125,80.875,-5.60378044714541
93.375,80.875,-5.51281263603455
93.625,80.875,-5.33759633651832
93.875,80.875,-5.56882592180819
94.125,80.875,-6.04246288389569
94.375,80.875,-6.10707289187007
94.625,80.875,-6.10280898944133
94.875,80.875,-6.11547918152883
95.125,80.875,-6.12636951398481
95.375,80.875,-6.16834415334471
95.625,80.875,-6.44226879421436
95.875,80.875,-6.35063471744633
96.125,80.875,-6.37628434909451
96.375,80.875,-6.28018701003724
96.625,80.875,-6.30428169239844
96.875,80.875,-6.6256026540169
97.125,80.875,-6.68569937466892
-19.875,80.625,-4.83535622080133
-19.625,80.625,-4.78301041204405
-18.875,80.625,-4.66339977797602
45.125,80.625,-2.92503431695544
45.375,80.625,-2.94513079945754
45.625,80.625,-2.96484763836762
45.875,80.625,-2.98268595491455
46.125,80.625,-2.99904131382161
46.375,80.625,-3.02444950036294
46.625,80.625,-3.05995600265179
46.875,80.625,-3.10001215056806
47.125,80.625,-3.12735280504404
47.375,80.625,-3.152867532144
48.625,80.625,-3.28598397660217
49.375,80.625,-3.33440170869128
49.625,80.625,-3.34930780261834
49.875,80.625,-3.36918179540076
50.125,80.625,-3.38582346389404
50.375,80.625,-3.3809628970944
50.625,80.625,-3.38579528714223
50.875,80.625,-3.36702426051487
