V1,V2,V3,V4,V5,V6,V7,V8,V9
224.829007084679,229.448311101416,164.762808795289,234.784131409675,178.829065422487,150.204639332459,204.827123866149,201.26495904986,204.8187561984
236.299186571666,155.248143784099,206.493316171118,203.503386677517,216.927192678126,215.167329348252,215.103804316474,212.969139674535,206.587285086907
223.498857660075,168.282793257335,301.924432365915,221.633130283729,172.896059913913,233.219532547307,148.473900402483,199.464319882618,213.721431002417
250.929987209083,211.257945986126,217.992753928581,189.520182652726,217.578792690782,185.336542969782,161.337916634938,255.620140104173,223.308346694581
256.198961754872,236.38418824242,197.789301384991,233.0776226774,176.596873892416,229.173083332023,200.870593360423,230.40435390613,249.473708927404
227.928517057736,191.344839295643,150.117382288652,154.86863815395,148.789963705012,141.644880981423,217.45541951477,182.047272241922,186.82853071956
169.633242224091,145.987585882211,176.055340148974,189.966438432973,182.810403506757,141.393640448758,162.437689089629,131.96802311917,165.24388342653
225.0736776007,138.383872624561,261.545123780883,235.959584683605,143.94040203003,191.827758471835,184.048617013528,181.282856186801,192.8009625667
220.964254634498,183.919886391009,189.527056448277,265.07004918043,210.548653975693,186.457653229846,181.4239925479,202.342957701249,227.984861535183
172.671086881523,155.504767583876,148.318725647508,248.747351374079,244.019765902047,188.747003995214,233.281155993747,171.023871351153,206.138713876519
177.682805553363,174.948245091294,173.229566830925,229.679494473602,171.865548119363,195.753737972308,194.803128924528,193.209085189887,188.175725196756
212.817795705952,227.241946253468,211.713474007704,170.361918069675,170.245811277508,142.299161243346,207.353693747243,209.284737429843,212.929281661505
191.767328724944,193.502058258649,235.390432734575,217.571823205721,176.038797347629,175.890687270714,213.818960354178,231.49142119793,232.344806555985
141.779031289194,167.011576497205,124.334681925854,205.459948927383,174.851761489164,192.749001382202,215.685031166086,205.038132526999,185.728492329559
157.805657800145,172.006966139288,169.109518411959,163.323253796428,200.329786618479,171.065293928174,187.745306154708,150.883529205389,194.162902611467
139.407925426229,143.954101446447,172.383995229583,183.971194619164,204.069550398331,163.291346141619,190.543035338822,194.885886935321,190.115609490505
132.719431966195,159.465663929493,201.65908931466,214.707683698431,211.094100266546,186.523660325948,136.114595894798,167.832318253641,187.425793601703
170.418276196211,147.215378916874,181.52670167745,172.164091025432,191.238504698677,140.718348275751,146.08973887366,152.811902943836,178.555621227947
179.976431384383,128.884679491624,139.987838128995,170.80490980131,184.906935413068,125.44051754078,159.228658040754,198.355195747615,174.575960269299
130.042759577606,159.802577725472,176.996382829808,165.107764743817,160.600671873851,141.662969198343,177.624211100027,162.079823934182,171.192201575417
138.350696440271,205.148126213061,134.96932276988,192.19871407408,176.728499968819,190.783264628548,153.462649585823,155.035158408383,174.978681112311
156.342554698345,159.51147493608,141.603527705406,154.069050365507,226.090157917622,189.678867886517,175.811905184634,138.670397229834,181.812673547692
144.557642912106,167.264931052844,161.939775155782,193.485231907966,189.518774692086,138.717358232175,137.630798583751,163.289801757738,170.640717718021
154.529119724166,166.846117431823,141.85238283399,187.824546407177,184.932514099445,132.703732898395,147.636597786805,189.148951591294,181.624278971012
155.56062618495,142.97942593708,141.968318341213,164.272041015832,150.152468020962,138.609881765568,139.848562773938,212.13948772292,152.151998041241
146.262752310063,125.528629554159,186.113060741953,151.534041356748,136.421162474339,142.394165850761,126.484753802651,249.219554453905,150.080421758385
147.374962034196,166.221216530287,137.637545340495,137.639858058931,201.942303210787,127.819917966727,156.737747471343,124.398722090418,159.878301044604
132.507614203586,165.893207913539,151.024570305237,176.154994999773,174.927851802108,181.691406279345,164.311555277721,153.645931062593,173.363563026732
155.892247045753,160.05925993755,146.748856685747,145.812761138817,180.888613551667,192.102831651196,141.612868636165,189.590484086035,177.770677684853
157.919522466672,167.317006092275,178.994994450277,140.334357112302,202.478045539371,152.481317500301,191.742610994707,160.545151389101,187.887478720988
162.575757323836,204.71824510141,136.100961611027,168.113622702423,184.607954544385,162.901417588113,188.747792675215,172.739428328589,198.04707547425
178.204000649231,176.466582173347,123.444533100503,152.675942253516,163.107985059465,187.048622727869,135.979584081209,176.898144106429,160.314498235728
137.819836511032,164.013605983291,187.571049434048,152.882088359214,153.347121279771,204.501271285864,158.53615950803,165.521318203554,165.521701349096
158.514337052477,148.482780539618,155.659987015712,131.762566973949,137.579060158263,157.194979534089,127.067955450706,186.481266180524,153.482861571239
186.507930196436,135.950501544108,169.682942597451,144.461066453629,131.991941708683,151.325837395999,154.498594824347,173.144933271572,159.857055518973
138.18601488553,150.604969409539,165.135782827393,163.637680480763,139.316098462343,138.066294541547,149.742026154628,137.729284273011,160.521326383482
168.596415995766,140.973286993509,135.518633200738,127.072382204571,195.459127634531,177.171602451499,157.266432802567,155.094769848496,169.9547253664
160.196428482699,130.327238971853,136.657558511529,165.793181596204,148.943539424757,255.647694553158,156.94233307092,160.076046938755,182.885812708107
123.767334571626,126.060994615831,186.987482822784,151.949732722479,127.874950425574,216.597818467165,155.743719732821,136.086698586878,162.800980096942
139.965318737722,154.955226610775,142.21223489275,139.546687084283,154.331026101857,138.51581087834,171.783452296514,161.446485176812,154.491583421269
157.602078382818,152.337851060648,167.599501172609,130.48062856151,136.04071546872,123.701777188828,137.582734206105,158.018389213202,153.556953818897
133.301980964278,141.800175384747,165.504826458453,129.792333379276,151.565630630822,177.272482118315,144.215304637993,161.346796078045,159.170376200715
181.422148074555,132.209044902489,144.765418131846,141.269654778785,160.100536006668,215.840381612777,139.359532549638,139.35961139629,149.008554800364
115.843784664337,187.604854054832,135.83767993745,164.506106603844,151.15266086209,145.761160061831,155.866642420316,149.710564615239,159.233083821715
121.709727376892,164.57877391746,150.792345945822,152.14536384363,138.479568561926,139.704987653628,161.586427841623,119.31870755844,146.816221942574
170.890347710948,150.244933847263,151.038989649014,250.283779101586,148.604732851795,129.880119146621,174.89733150235,168.930786658593,171.549717698283
168.051919525325,148.456966523131,173.96009168395,167.26200811756,140.199453906845,162.052079928246,149.700005227896,137.832487858543,155.651570717689
160.411896125839,129.633550360585,133.004122812021,129.796250562945,158.538087057239,162.203026698819,137.214806847753,127.443982155922,136.196135313787
149.057131712929,149.527280102134,147.138905728636,132.854230496882,117.761778841528,160.793575434759,128.405953536804,126.508957351455,145.06226554467
137.319040993252,129.143137897137,155.896807385761,136.058695745254,122.544882671878,127.312233874685,142.746520943134,130.9823519866,128.036262381277
141.094674301275,159.063673221914,186.778732187434,173.173366754453,166.824914766083,127.071416878053,157.294961803928,169.611985721987,160.806224504742
132.518575595734,171.086845033939,156.957180867775,129.036315148845,119.303728337395,153.501861971615,156.159055423517,121.386285588452,144.281531071672
138.43474389881,152.919105937247,156.240990922839,162.872927232435,109.773918424659,177.202244842822,170.34652509872,162.378336632357,160.552062857855
125.667420796926,134.986960473285,160.840391170551,149.077727862331,154.963828939456,146.0666659107,166.875467026561,163.324659196693,157.32411543981
139.348597778734,117.846823005817,139.775811664198,216.380858818792,128.543351352254,149.178825327068,154.50078439093,134.809214124142,128.214643489433
