long,lat,twsmonann
91.875,37.875,25.9252689836458
92.125,37.875,31.0375272821103
92.375,37.875,29.7312349977415
92.625,37.875,22.0063934482811
92.875,37.875,18.1414749610992
93.125,37.875,18.1364803778008
93.375,37.875,19.2086958177743
93.625,37.875,21.3581215393375
93.875,37.875,19.6090869151366
94.125,37.875,13.9615918918025
94.375,37.875,11.105634387689
94.625,37.875,11.0412141249826
94.875,37.875,11.2466352941025
95.125,37.875,11.7218976418266
95.375,37.875,10.1635672034252
95.625,37.875,6.57164382882682
95.875,37.875,4.8094114201609
96.125,37.875,4.87686969235185
96.375,37.875,4.55824030462564
96.625,37.875,3.85352290052743
96.875,37.875,3.52647585357052
97.125,37.875,3.57709913894401
97.375,37.875,3.61777625717223
97.625,37.875,3.64850726776224
97.875,37.875,3.18789801588725
