long,lat,tws
96.375,39.625,3.41376903560013
96.625,39.625,3.31290554255247
96.875,39.625,3.35015442036092
97.125,39.625,3.52551593072712
97.375,39.625,3.58400230295956
97.625,39.625,3.52561336569488
97.875,39.625,3.51935952436179
98.125,39.625,
98.375,39.625,
98.625,39.625,
98.875,39.625,
99.125,39.625,
99.375,39.625,
99.625,39.625,
99.875,39.625,
100.125,39.625,
100.375,39.625,
100.625,39.625,
100.875,39.625,
101.125,39.625,
101.375,39.625,
101.625,39.625,
101.875,39.625,
102.125,39.625,
102.375,39.625,
102.625,39.625,
102.875,39.625,
103.125,39.625,
103.375,39.625,
103.625,39.625,
103.875,39.625,
104.125,39.625,
104.375,39.625,
104.625,39.625,
68.125,39.375,
68.375,39.375,
68.625,39.375,
68.875,39.375,
69.125,39.375,
69.375,39.375,
69.625,39.375,
69.875,39.375,
70.125,39.375,
70.375,39.375,
70.625,39.375,
70.875,39.375,
71.125,39.375,
71.375,39.375,
71.625,39.375,103.122800588608
71.875,39.375,99.0332286953926
72.125,39.375,90.8225313425064
72.375,39.375,86.4028846025467
72.625,39.375,85.774292588234
72.875,39.375,84.2194164395332
73.125,39.375,81.7382580935955
73.375,39.375,76.7314360179007
73.625,39.375,69.1989490538836
73.875,39.375,63.6089725792408
74.125,39.375,59.9615046977997
74.375,39.375,57.2502466440201
74.625,39.375,55.4751964211464
74.875,39.375,
75.125,39.375,
75.375,39.375,
75.625,39.375,
75.875,39.375,
76.125,39.375,
76.375,39.375,
76.625,39.375,
76.875,39.375,
77.125,39.375,
77.375,39.375,
77.625,39.375,
77.875,39.375,
78.125,39.375,
78.375,39.375,
78.625,39.375,
78.875,39.375,
79.125,39.375,
79.375,39.375,
79.625,39.375,
79.875,39.375,
80.125,39.375,
80.375,39.375,
80.625,39.375,
80.875,39.375,
81.125,39.375,
81.375,39.375,
81.625,39.375,
81.875,39.375,
82.125,39.375,
82.375,39.375,
82.625,39.375,
82.875,39.375,
83.125,39.375,
83.375,39.375,
83.625,39.375,
83.875,39.375,
84.125,39.375,
84.375,39.375,
84.625,39.375,
84.875,39.375,
85.125,39.375,
85.375,39.375,
85.625,39.375,
85.875,39.375,
86.125,39.375,
86.375,39.375,
86.625,39.375,
86.875,39.375,
87.125,39.375,
87.375,39.375,
87.625,39.375,
87.875,39.375,
88.125,39.375,
88.375,39.375,
88.625,39.375,
88.875,39.375,
89.125,39.375,
89.375,39.375,
89.625,39.375,
89.875,39.375,
90.125,39.375,
90.375,39.375,
90.625,39.375,
90.875,39.375,
91.125,39.375,
91.375,39.375,
91.625,39.375,
91.875,39.375,
92.125,39.375,
92.375,39.375,
92.625,39.375,
92.875,39.375,
93.125,39.375,
93.375,39.375,0.92369244992733
93.625,39.375,-0.0522236675024033
93.875,39.375,0.230336718261242
94.125,39.375,1.77137326821685
94.375,39.375,2.57660593092442
94.625,39.375,2.64603462815285
94.875,39.375,2.52701792120934
95.125,39.375,2.21955566480756
95.375,39.375,2.45279999449849
95.625,39.375,3.22675073612481
95.875,39.375,3.58854141831398
96.125,39.375,3.53817213419825
96.375,39.375,3.43784801848233
96.625,39.375,3.28756913542748
96.875,39.375,3.3269789647311
97.125,39.375,3.55607748031616
97.375,39.375,3.64567924733274
97.625,39.375,3.59578442294151
97.875,39.375,3.53840647637844
98.125,39.375,3.47354543954134
98.375,39.375,3.46604824066162
98.625,39.375,3.51591504365206
98.875,39.375,
99.125,39.375,
99.375,39.375,
99.625,39.375,
99.875,39.375,
100.125,39.375,
100.375,39.375,
100.625,39.375,
100.875,39.375,
101.125,39.375,
101.375,39.375,
101.625,39.375,
101.875,39.375,
102.125,39.375,
102.375,39.375,
102.625,39.375,
102.875,39.375,
103.125,39.375,
103.375,39.375,
103.625,39.375,
103.875,39.375,
104.125,39.375,
104.375,39.375,
104.625,39.375,
68.125,39.125,
68.375,39.125,
68.625,39.125,
68.875,39.125,
69.125,39.125,
69.375,39.125,
69.625,39.125,
69.875,39.125,
70.125,39.125,
70.375,39.125,
70.625,39.125,
70.875,39.125,
71.125,39.125,106.510403037071
71.375,39.125,107.282472372055
71.625,39.125,107.326936125755
71.875,39.125,101.87221801281
72.125,39.125,90.9183279275894
72.375,39.125,85.4652936458588
72.625,39.125,85.5131148099899
72.875,39.125,85.1173822879791
73.125,39.125,84.2780987322331
73.375,39.125,80.0863936170936
73.625,39.125,72.5422715842724
73.875,39.125,65.5073066949844
74.125,39.125,58.9815024137497
74.375,39.125,55.7129181027413
74.625,39.125,55.7015560269356
74.875,39.125,55.6898871064186
75.125,39.125,55.677911400795
75.375,39.125,
75.625,39.125,
75.875,39.125,
76.125,39.125,
76.375,39.125,
76.625,39.125,
76.875,39.125,
77.125,39.125,
77.375,39.125,
77.625,39.125,
77.875,39.125,
78.125,39.125,
78.375,39.125,
78.625,39.125,
78.875,39.125,
79.125,39.125,
79.375,39.125,
79.625,39.125,
79.875,39.125,
80.125,39.125,
80.375,39.125,
80.625,39.125,
80.875,39.125,
81.125,39.125,
81.375,39.125,
81.625,39.125,
81.875,39.125,
82.125,39.125,
82.375,39.125,
82.625,39.125,
82.875,39.125,
83.125,39.125,
83.375,39.125,
83.625,39.125,
83.875,39.125,
84.125,39.125,
84.375,39.125,
84.625,39.125,
84.875,39.125,
85.125,39.125,
85.375,39.125,
85.625,39.125,
85.875,39.125,
86.125,39.125,
86.375,39.125,
86.625,39.125,
86.875,39.125,
87.125,39.125,
87.375,39.125,
87.625,39.125,
87.875,39.125,
88.125,39.125,
88.375,39.125,
88.625,39.125,
88.875,39.125,
89.125,39.125,
89.375,39.125,
89.625,39.125,
89.875,39.125,
90.125,39.125,
90.375,39.125,
90.625,39.125,
90.875,39.125,
91.125,39.125,
91.375,39.125,-3.18748119473457
91.625,39.125,-3.3547315299511
91.875,39.125,-3.4420899450779
92.125,39.125,-3.44955715537071
92.375,39.125,
92.625,39.125,-3.42192517220974
92.875,39.125,-2.36349986493588
93.125,39.125,-0.267559982836247
93.375,39.125,0.291634418070316
93.625,39.125,-0.685916805639863
93.875,39.125,-0.456618580035865
94.125,39.125,0.979529671370983
94.375,39.125,1.89871201664209
94.625,39.125,2.30092903971672
94.875,39.125,2.34659023210406
95.125,39.125,2.03569572418928
95.375,39.125,2.21191931888461
95.625,39.125,2.87526127696037
95.875,39.125,3.28147872537375
96.125,39.125,3.43057172745466
96.375,39.125,3.43162070214748
96.625,39.125,3.28462550416589
96.875,39.125,3.30028761923313
97.125,39.125,3.47860685735941
97.375,39.125,3.53648922592402
97.625,39.125,3.47393470257521
97.875,39.125,3.40039061009884
98.125,39.125,3.31585708260536
98.375,39.125,3.34063972532749
98.625,39.125,3.47473849356174
98.875,39.125,3.56520138680935
99.125,39.125,3.61202867329121
99.375,39.125,
99.625,39.125,
99.875,39.125,
100.125,39.125,
100.375,39.125,
100.625,39.125,
100.875,39.125,
101.125,39.125,
101.375,39.125,
101.625,39.125,
101.875,39.125,
102.125,39.125,
102.375,39.125,
102.625,39.125,
102.875,39.125,
103.125,39.125,
103.375,39.125,
103.625,39.125,
103.875,39.125,
104.125,39.125,
104.375,39.125,
104.625,39.125,
68.125,38.875,
68.375,38.875,
68.625,38.875,
68.875,38.875,
69.125,38.875,
69.375,38.875,
69.625,38.875,
69.875,38.875,
70.125,38.875,
70.375,38.875,109.892843604088
70.625,38.875,107.466897845268
70.875,38.875,106.519824147224
71.125,38.875,107.051617860794
71.375,38.875,107.346367835999
71.625,38.875,107.404076218605
71.875,38.875,101.959490120411
72.125,38.875,91.0126196742058
72.375,38.875,85.56204611063
72.625,38.875,85.6077722907067
72.875,38.875,84.3357278704643
73.125,38.875,81.7459136769176
73.375,38.875,79.1910453587771
73.625,38.875,76.6711215525866
73.875,38.875,70.4940020106733
74.125,38.875,60.6596876680851
74.375,38.875,55.7334706187248
74.625,38.875,55.7153512239456
74.875,38.875,55.7013562917709
75.125,38.875,55.6914827227593
75.375,38.875,53.7299901247025
75.625,38.875,
75.875,38.875,
76.125,38.875,
76.375,38.875,
76.625,38.875,
76.875,38.875,
77.125,38.875,
77.375,38.875,
77.625,38.875,
77.875,38.875,
78.125,38.875,
78.375,38.875,
78.625,38.875,
78.875,38.875,
79.125,38.875,
79.375,38.875,
79.625,38.875,
79.875,38.875,
80.125,38.875,
80.375,38.875,
80.625,38.875,
80.875,38.875,
81.125,38.875,
81.375,38.875,
81.625,38.875,
81.875,38.875,
82.125,38.875,
82.375,38.875,
82.625,38.875,
82.875,38.875,
83.125,38.875,
83.375,38.875,
83.625,38.875,
83.875,38.875,
84.125,38.875,
84.375,38.875,
84.625,38.875,
84.875,38.875,
85.125,38.875,
85.375,38.875,
85.625,38.875,
85.875,38.875,
86.125,38.875,
86.375,38.875,
86.625,38.875,
86.875,38.875,
87.125,38.875,
87.375,38.875,
87.625,38.875,
87.875,38.875,
88.125,38.875,
88.375,38.875,
88.625,38.875,
