routeid,region,variable,long,lat,height,varep
7,EU,long7,32.8861276041319,53.2601481566994,6414.39436165316,-833.843959313486
8,NA,long7,-41.9003319282075,45.3461400352245,7419.17510563389,-4396.52858497885
9,AS,long7,-71.7970362516571,38.396958928093,9354.05377307958,-327.711075933421
10,NAF,long7,6.27327480051091,25.8806655798275,5663.04069472551,446.769096458179
11,MS,long7,35.9847552681103,33.5440732228956,5526.90321870391,-19.0557428555724
12,NA,long7,-84.287685357324,39.6454578272774,7642.1589236522,-2011.45691558727
13,IO,long7,70.4344184215763,21.0127255610067,3159.03045648425,2887.64436899659
14,AS,long7,77.9143322398604,44.1169152254347,3142.84117763899,617.699365745036
15,ATO,long7,-10.5197475868339,35.824602393974,7689.46647413908,-1886.01308938022
16,NA,long7,-111.899696520559,34.150732415106,7551.08596171164,-1308.33180919194
17,ATO,long7,-0.998776491216459,46.6230994032271,7326.86016952001,-1462.96279559618
18,AS,long7,86.5640892512555,25.1865572704565,3099.66604390328,-759.314491360062
19,AS,long7,43.2200899395337,22.2744410346978,4842.87195983914,1707.49451723435
20,BS,long7,52.6298227154937,47.0814573932542,5931.82195640649,-742.586633170124
1,AS,long8,109.811915209602,28.8415910102352,3123.78631667869,-1198.56580173044
2,CS,long8,61.6994189484323,35.3374056373174,3713.50279458683,73.5434579353401
3,ATO,long8,-50.9064909858457,31.9006131610121,7572.68567855201,-2936.32241394115
4,AS,long8,95.4776148772173,43.1622049038479,2696.90405119309,-17.0317134076026
5,ATO,long8,-26.808197069511,32.6299457335612,7447.90054678247,-2405.38489870745
6,NAF,long8,19.9814364216265,34.3669041537364,6530.24004485661,-813.672929579914
7,EU,long8,36.9144252153132,53.2523307363926,6440.35095607318,-1377.32613757409
8,NA,long8,-34.5732705318349,45.8022538508761,7529.83544892935,-4122.37828347689
9,AS,long8,-96.7638749315467,38.6125824396382,9383.9391594164,-289.288832187953
10,NAF,long8,7.47334042513305,25.7464633947483,5583.40463532326,-300.95091200989
11,MS,long8,38.7667948957093,33.6501133614268,5431.78626821895,-804.083186014175
12,NA,long8,-77.3807852527134,39.9527738225487,7758.94425203941,-2440.69553632397
13,IO,long8,71.2069952214717,21.0324736286614,3124.80711563696,1868.98552086565
14,AS,long8,78.2073840228382,43.8797898572601,3060.94204507723,-629.37049068427
15,ATO,long8,-6.98597088059708,35.900576569303,7656.29520724865,-1954.43940506395
16,NA,long8,-106.943632942437,34.446396050731,7577.81279511997,-1068.80989860012
17,ATO,long8,5.01698802374465,46.8058156818407,7346.93981517117,-2008.69061684995
18,AS,long8,87.0948339407537,25.1779213645648,3081.25263873496,-2789.67078846293
19,AS,long8,43.3460639566141,22.292357549495,4772.13551901857,1051.84594601382
