routeid,region,variable,long,lat
7,EU,long15,56.0757947116448,49.7653393751609
8,NA,long15,15.5395576639452,44.1710816726921
9,AS,long15,-93.2095133652473,39.0934911449787
10,NAF,long15,14.421267954683,26.4165304633445
11,MS,long15,58.2851558246902,34.6574697366863
12,NA,long15,-23.6068996940799,43.9728388838012
13,IO,long15,76.4342415409191,21.3122241516428
14,AS,long15,83.4536442324258,42.2531419995396
15,ATO,long15,19.4662992610587,35.6570776148958
16,NA,long15,-63.5218159509511,36.7606556652598
17,ATO,long15,44.1465504280606,46.0204895971491
18,AS,long15,89.5966929647169,25.3994503634103
19,AS,long15,44.7849455856429,23.8261115683265
20,BS,long15,78.9838558710276,43.9640903235736
1,AS,long16,107.376416466252,28.7421821082178
2,CS,long16,68.6769081613637,34.0985621418297
3,ATO,long16,-21.5535114428256,33.8560696458482
4,AS,long16,99.8760600941345,40.1760918330322
5,ATO,long16,-2.42984742550422,33.3254055888595
6,NAF,long16,41.7369440384378,35.3944585988262
7,EU,long16,58.1966215913036,49.113848783477
8,NA,long16,21.322968438716,43.90951566843
9,AS,long16,-84.1158425460865,39.2221992605416
10,NAF,long16,16.2151717464749,26.737185669419
11,MS,long16,60.7123466057911,34.6657351418724
12,NA,long16,-16.0390032268793,43.6529703052387
13,IO,long16,77.1637569608145,21.4370863510019
14,AS,long16,83.8830849572733,41.9800246937302
15,ATO,long16,23.386962663034,35.6096295727308
16,NA,long16,-56.1555960110275,37.4420665735592
17,ATO,long16,49.3230583503402,45.7592695829765
18,AS,long16,89.7078752269559,25.4803875748614
19,AS,long16,45.2946368528931,24.2152328718468
20,BS,long16,81.1611507188941,43.4640237672105
1,AS,long17,106.826368364058,28.7992023502593
2,CS,long17,69.3478545465535,34.0336757562224
3,ATO,long17,-17.5376812437663,33.7296567577333
4,AS,long17,100.19573144846,39.7863451447677
5,ATO,long17,1.31836586943449,33.4214597252847
6,NAF,long17,44.6767801276724,35.6180004503752
7,EU,long17,60.370375840868,48.4746898604586
8,NA,long17,27.0551134357089,43.7057017715662
9,AS,long17,-74.7115880918427,39.4560858222162
10,NAF,long17,18.1300765001076,27.1010640202952
11,MS,long17,62.9643250669394,34.6587895587081
12,NA,long17,-9.00306867663218,42.9070746670751
13,IO,long17,77.8647218092099,21.5919303495546
14,AS,long17,84.3288741098198,41.7510611857258
15,ATO,long17,27.3027300155838,35.6144303509369
16,NA,long17,-48.6845013170589,38.1830428216696
17,ATO,long17,54.2227102023101,45.4353515402127
18,AS,long17,89.7529675495881,25.5915006212078
19,AS,long17,45.9301192708695,24.6556536789348
20,BS,long17,83.0549325770815,42.9855056140371
1,AS,long18,106.236726418295,28.8538618407677
2,CS,long18,70.0361832837267,34.0016442363729
3,ATO,long18,-13.4022948678576,33.505720665892
4,AS,long18,100.474062872952,39.3615606398545
5,ATO,long18,5.29228249008157,33.5704663029771
6,NAF,long18,47.6114266513146,35.8588485539121
7,EU,long18,62.6362736386592,47.8703054508243
8,NA,long18,32.8805173542137,43.5579474670235
9,AS,long18,-65.0545777171493,39.8359696998407
10,NAF,long18,20.1849807111231,27.5465622166452
11,MS,long18,65.058588277371,34.6855482359736
12,NA,long18,-2.40890015055794,42.0004689551243
13,IO,long18,78.5424987326607,21.7641126146904
14,AS,long18,84.8181977506458,41.5058078776014
15,ATO,long18,31.2441825722506,35.7367271889189
16,NA,long18,-41.1415883824293,38.8640982465316
17,ATO,long18,58.8304107500312,45.1129051198096
18,AS,long18,89.7887786855695,25.7154307347869
19,AS,long18,46.7164952120649,25.1616633555154
20,BS,long18,84.7668983759327,42.5392748672193
1,AS,long19,105.567752373719,28.9254325964591
2,CS,long19,70.7390252511675,33.9622558828364
3,ATO,long19,-9.09909998893482,33.2386721413386
4,AS,long19,100.624413736525,38.9217875968897
5,ATO,long19,9.51222666973628,33.775338931075
6,NAF,long19,50.5029169089852,36.0671916022451
7,EU,long19,64.9995621067553,47.2284589868562
8,NA,long19,38.5984020903474,43.3837276916121
9,AS,long19,-55.1735796576274,40.2768021493791
10,NAF,long19,22.4150513191445,28.0616984446031
11,MS,long19,67.0320603100341,34.7158595567571
12,NA,long19,3.91904124906928,41.1448632750087
13,IO,long19,79.174502472605,21.9530206213457
14,AS,long19,85.2833435996493,41.2099180728396
15,ATO,long19,35.2353886814579,35.9329902679575
16,NA,long19,-33.5803714917564,39.3361672023082
17,ATO,long19,63.1185142285592,44.7386460843703
18,AS,long19,89.8021432879968,25.8447477369996
19,AS,long19,47.6562577228626,25.7001692268232
20,BS,long19,86.3196935430712,42.0844297233932
1,AS,long20,104.866443581674,29.0286399585675
2,CS,long20,71.401979891739,33.9196191074875
3,ATO,long20,-4.5853111154133,32.9671268811976
4,AS,long20,100.723466699454,38.5254149030284
5,ATO,long20,13.9548907752066,33.9943646575129
6,NAF,long20,53.3046244989666,36.1997769881184
7,EU,long20,67.3239844771383,46.522500887854
8,NA,long20,44.0436661895325,43.1125944264539
9,AS,long20,-45.1545629155149,40.578175654615
10,NAF,long20,24.8325671019618,28.6048139971804
11,MS,long20,68.8987642923074,34.7187466860301
12,NA,long20,10.0459198696197,40.4274192697172
13,IO,long20,79.7299730523286,22.1731360531596
14,AS,long20,85.727252701927,40.9263981691862
15,ATO,long20,39.222461187064,36.1296871216532
16,NA,long20,-26.1685133598213,39.5138168289141
17,ATO,long20,66.9831937675022,44.248057501518
18,AS,long20,89.7618110783044,26.0032927188567
19,AS,long20,48.7357771329666,26.2514346949525
20,BS,long20,87.7135879773261,41.6400003095969
1,AS,long21,104.20518973102,29.1341437853143
2,CS,long21,72.0339463338206,33.914744121166
3,ATO,long21,0.147443214014095,32.7395588423773
4,AS,long21,100.885157244079,38.171001855218
5,ATO,long21,18.5632440826457,34.2445758785394
6,NAF,long21,55.9958677360489,36.2953978658798
7,EU,long21,69.4702882456162,45.8166284181888
8,NA,long21,48.8403560802512,42.7783939287717
9,AS,long21,-35.2052475509579,40.6473728948545
10,NAF,long21,27.4452113568487,29.1921194777674
11,MS,long21,70.6784001567805,34.721616439731
12,NA,long21,15.9520043649983,39.8849924198635
